epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,714.364,0.89054,0.51971,1.12942,0.95426,0.99074,0.97251,0.75871,0.79736,0.41441,0.99756,0.0008714,0.0008714,0.0008714
59,725.318,0.88677,0.51066,1.13388,0.96984,0.98148,0.98261,0.81324,0.71324,0.39369,0.96771,0.0008516,0.0008516,0.0008516
60,738.422,0.88727,0.50193,1.1336,0.98035,0.98148,0.98574,0.81698,0.73364,0.38828,0.9537,0.0008318,0.0008318,0.0008318
61,751.704,0.87459,0.49316,1.10739,0.96382,0.99074,0.98348,0.8124,0.71641,0.39104,0.94794,0.000812,0.000812,0.000812
62,763.508,0.87372,0.49372,1.1083,0.96289,0.98148,0.9859,0.8037,0.7652,0.40431,0.96326,0.0007922,0.0007922,0.0007922
63,774.594,0.88723,0.50256,1.12631,0.98665,0.98148,0.98717,0.78397,0.78267,0.38096,0.96325,0.0007724,0.0007724,0.0007724
64,787.647,0.87303,0.49381,1.11638,0.97056,0.98148,0.98536,0.79104,0.76055,0.39223,0.95559,0.0007526,0.0007526,0.0007526
65,800.989,0.86494,0.48398,1.10638,0.97922,0.96296,0.98472,0.7765,0.73975,0.3908,0.96847,0.0007328,0.0007328,0.0007328
66,811.773,0.83201,0.4851,1.08923,0.98038,0.98148,0.98723,0.81408,0.74573,0.37794,0.96247,0.000713,0.000713,0.000713
67,824.099,0.81041,0.47407,1.07811,0.96372,0.99074,0.97317,0.79435,0.73982,0.35896,0.95225,0.0006932,0.0006932,0.0006932
68,837.164,0.81525,0.46156,1.09,0.97147,0.98148,0.98543,0.81513,0.74259,0.38425,0.95491,0.0006734,0.0006734,0.0006734
69,849.73,0.82106,0.4745,1.09291,0.96682,0.98148,0.98534,0.82176,0.6909,0.38467,0.93756,0.0006536,0.0006536,0.0006536
70,860.685,0.80794,0.45536,1.07707,0.97742,0.98148,0.98735,0.82298,0.72423,0.38957,0.95854,0.0006338,0.0006338,0.0006338
71,873.263,0.80969,0.4624,1.08483,0.98705,0.98148,0.98633,0.80994,0.74249,0.37546,0.95748,0.000614,0.000614,0.000614
72,886.332,0.80694,0.45707,1.09318,0.97163,0.98148,0.98523,0.78758,0.72847,0.36902,0.96239,0.0005942,0.0005942,0.0005942
73,897.314,0.802,0.46189,1.08462,0.97636,0.98148,0.98429,0.79309,0.74253,0.37538,0.96885,0.0005744,0.0005744,0.0005744
74,909.105,0.79862,0.45678,1.08301,0.97576,0.98148,0.98501,0.81505,0.71913,0.36832,0.96654,0.0005546,0.0005546,0.0005546
75,922.039,0.78461,0.44991,1.07386,0.97103,0.98148,0.9814,0.82055,0.70076,0.37314,0.95514,0.0005348,0.0005348,0.0005348
76,934.693,0.80956,0.45527,1.08969,0.97829,0.98148,0.98063,0.83617,0.6802,0.35905,0.9491,0.000515,0.000515,0.000515
77,945.381,0.78046,0.44324,1.07437,0.97972,0.98148,0.98066,0.83375,0.66348,0.35131,0.92893,0.0004952,0.0004952,0.0004952
78,958.15,0.76605,0.43553,1.06781,0.97216,0.98148,0.98651,0.83538,0.68149,0.34989,0.93631,0.0004754,0.0004754,0.0004754
